"file","role","width","height","bytes","transparentPercent","partialPercent","opaquePercent","whiteCorners","contentBounds"
"assets/images/generated/backgrounds/dirty_room.jpg","background","960","720","97233","0","0","100","0","0,0,959,719"
"assets/images/generated/backgrounds/palace_treasure_hall.jpg","background","960","720","104022","0","0","100","0","0,0,959,719"
"assets/images/generated/backgrounds/parking_lot.jpg","background","960","720","94382","0","0","100","0","0,0,959,719"
"assets/images/generated/backgrounds/renovated_room.jpg","background","960","720","97416","0","0","100","0","0,0,959,719"
"assets/images/generated/backgrounds/stone_dungeon.jpg","background","960","720","81433","0","0","100","0","0,0,959,719"
"assets/images/generated/backgrounds/sunny_grassland.jpg","background","960","720","106305","0","0","100","0","0,0,959,719"
"assets/images/ad_parts/sheet1/sheet1_01.png","foreground","273","237","149801","22.04","0","77.96","0","6,6,266,236"
"assets/images/ad_parts/sheet1/sheet1_02.png","foreground","291","251","132234","42.02","0","57.98","0","6,6,284,250"
"assets/images/ad_parts/sheet1/sheet1_03.png","foreground","237","239","65425","57.68","0","42.32","0","6,6,230,235"
"assets/images/ad_parts/sheet1/sheet1_04.png","foreground","284","250","105365","40.79","0","59.21","0","6,6,277,249"
"assets/images/ad_parts/sheet1/sheet1_05.png","foreground","277","250","123050","38.31","0","61.69","0","6,6,270,249"
"assets/images/ad_parts/sheet1/sheet1_06.png","foreground","275","245","120456","36.95","0","63.05","0","6,6,268,242"
"assets/images/ad_parts/sheet1/sheet1_07.png","foreground","277","222","112137","41.04","0","58.96","0","6,6,270,215"
"assets/images/ad_parts/sheet1/sheet1_08.png","foreground","274","243","115597","26.26","0","73.74","0","6,6,267,240"
"assets/images/ad_parts/sheet1/sheet1_09.png","foreground","269","241","116435","38.38","0","61.62","0","6,6,262,238"
"assets/images/ad_parts/sheet1/sheet1_10.png","foreground","279","236","126108","36.12","0","63.88","0","6,6,272,233"
"assets/images/ad_parts/sheet1/sheet1_11.png","foreground","275","228","103450","47.9","0","52.1","0","6,6,268,221"
"assets/images/ad_parts/sheet1/sheet1_12.png","foreground","211","233","87124","40.74","0","59.26","0","6,6,204,226"
"assets/images/ad_parts/sheet1/sheet1_13.png","foreground","252","228","93512","30.25","0","69.75","0","6,6,245,221"
"assets/images/ad_parts/sheet1/sheet1_14.png","foreground","273","233","71424","56.2","0","43.8","0","6,6,266,226"
"assets/images/ad_parts/sheet1/sheet1_15.png","foreground","266","236","64404","54.11","0","45.89","0","6,6,259,229"
"assets/images/ad_parts/sheet1/sheet1_16.png","foreground","290","238","84110","51.6","0","48.4","0","6,0,283,231"
"assets/images/ad_parts/sheet1/sheet1_17.png","foreground","293","230","73971","59.78","0","40.22","0","6,6,286,223"
"assets/images/ad_parts/sheet1/sheet1_18.png","foreground","291","238","146497","31.59","0","68.41","0","6,0,284,231"
"assets/images/ad_parts/sheet1/sheet1_19.png","foreground","284","237","96246","33.25","0","66.75","0","0,0,277,230"
"assets/images/ad_parts/sheet1/sheet1_20.png","foreground","295","236","114410","41.45","0","58.55","0","6,0,288,229"
"assets/images/ad_parts/sheet2/sheet2_01.png","foreground","293","245","137678","35.97","0","64.03","0","6,6,286,244"
"assets/images/ad_parts/sheet2/sheet2_02.png","foreground","275","242","137700","28.52","0","71.48","0","6,6,268,241"
"assets/images/ad_parts/sheet2/sheet2_03.png","foreground","307","252","154916","30.25","0","69.75","0","0,6,300,251"
"assets/images/ad_parts/sheet2/sheet2_04.png","foreground","289","249","134322","32.61","0","67.39","0","6,6,282,248"
"assets/images/ad_parts/sheet2/sheet2_05.png","foreground","306","253","129015","42.77","0","57.23","0","2,6,299,252"
"assets/images/ad_parts/sheet2/sheet2_06.png","foreground","280","223","125921","34.86","0","65.14","0","6,6,273,216"
"assets/images/ad_parts/sheet2/sheet2_07.png","foreground","291","217","104471","37.77","0","62.23","0","2,6,284,215"
"assets/images/ad_parts/sheet2/sheet2_08.png","foreground","299","221","109771","42.87","0","57.13","0","6,6,292,215"
"assets/images/ad_parts/sheet2/sheet2_09.png","foreground","293","225","123703","38.63","0","61.37","0","6,6,286,224"
"assets/images/ad_parts/sheet2/sheet2_10.png","foreground","285","214","92363","35.23","0","64.77","0","6,6,278,207"
"assets/images/ad_parts/sheet2/sheet2_11.png","foreground","279","227","95287","41.7","0","58.3","0","6,6,272,220"
"assets/images/ad_parts/sheet2/sheet2_12.png","foreground","256","239","93477","35.05","0","64.95","0","6,6,249,232"
"assets/images/ad_parts/sheet2/sheet2_13.png","foreground","296","239","106718","36.23","0","63.77","0","4,6,289,232"
"assets/images/ad_parts/sheet2/sheet2_14.png","foreground","279","226","127758","33.73","0","66.27","0","6,6,272,219"
"assets/images/ad_parts/sheet2/sheet2_15.png","foreground","280","249","142657","31.74","0","68.26","0","6,6,273,242"
"assets/images/ad_parts/sheet2/sheet2_16.png","foreground","267","233","84238","41.11","0","58.89","0","6,0,260,226"
"assets/images/ad_parts/sheet2/sheet2_17.png","foreground","285","216","79499","39.29","0","60.71","0","6,0,278,209"
"assets/images/ad_parts/sheet2/sheet2_18.png","foreground","306","233","146905","32.23","0","67.77","0","5,1,299,226"
"assets/images/ad_parts/sheet2/sheet2_19.png","foreground","270","216","48985","73.08","0","26.92","0","6,0,263,209"
"assets/images/ad_parts/sheet2/sheet2_20.png","foreground","299","232","98516","52.07","0","47.93","0","6,5,292,225"
"assets/images/generated/characters/rescue_dog.png","foreground","409","448","283946","51.46","47.93","0.61","0","40,5,404,440"
"assets/images/generated/game/bee_swarm.png","foreground","448","409","255577","57.16","41.27","1.57","0","8,6,444,402"
